nome,arquivo,W,H,X,Y
birdid,birdid.png,120,60,60,150
icp brasil azul,icp brasil azul.png,266,82,806,1600
icp brasil brasao,icp brasil brasao.png,400,150,600,1600
icp brasil chave,icp brasil chave.png,150,80,100,1600
icp brasil faixa preta,icp brasil faixa preta.png,380,83,348,1391
icp brasil verde,icp brasil verde.png,200,100,100,1550
vidas,vidas.png,144,74,800,1495
arvore logo,arvore logo.png,131,131,56,54
cremers logo,cremers logo.png,300,80,700,50
docway,docway.png,348,84,500,50
hapvida,hapvida.png,248,91,450,50
hapvida2,hapvida2.png,300,91,400,50
imagepat logo,imagepat logo.png,348,84,350,50
medalha,medalha.png,80,80,96,1506
notredame logo,notredame logo.png,200,60,600,50
sign,sign.png,399,86,56,1475
telecardio logo,telecardio logo.png,368,53,57,109
unimed,unimed.png,385,61,60,51
unimed2,unimed2.png,385,61,500,51
qr,qr.png,121,121,1047,1509
qr1,qr1.png,166,166,900,1312
qr3,qr3.png,74,75,1062,1440
qr4,qr4.png,124,124,795,219
qr5,qr5.png,101,101,1034,1496
